USITEID,YSITEID,SITECODE,REGION,lon,lat,MONTH,YEAR,SURVEY,ANNUAL,COUNTRY,REGION,DISTRICT,COMMUNITY,USWBTYPE,WBFLOW,HUMAN,RAMSAR,ENDEM_CASE,ENDEM_DIST,BU_2003,BU_2004,BU_2005,BU_2006,BU_2007,BU_TOTAL,Soil Type,FTemp,FSPECCOND,LELECTCOND,FDO,FPH,LPH,ORP,FTURB,LTURB,CHLORO,COLORAP,SUSSOLIDS,DISSOLIDS,NA,K,CA,MG,FE,CL,SO4,PO4P,MN,NO2N,NO3N,TOTHARD,TOTALK,CALHARD,MAGHARD,HCO3,AS,NH4,F,NF.ER.(N),NF.ER.NoPos(N),NF.ER.Positivity,NF.NoforVNTR,NF.VNTR.MU(N),NF.VNTR.MU.NoPos(N),NF.VNTR.Positivity(MU),NF.Total.MU.Positivity,NF.VNTR.MPM(N),NF.VNTR.NoPos.MPM(N),NF.VNTR.Positivity(MPM),NF.Total.MPM.Positivity,FF.ER(N),FF.ER.NoPos(N),FF.ER.Positivity,FF.NoforVNTR,FF.VNTR.MU(N),FF.VNTR.MU.NoPos(N),FF.VNTR.Positivity(MU),FF.Total.MU.Positivity,FF.VNTR.MPM(N),FFVNTR.NoPos.MPM(N),FF.VNTR.Positivity(MPM),FF.Total.MPM.Positivity,Plant.A,Plant.B,Plant.C,A.ER,B.ER,C.ER,ER(N),Plant.ER.NoPos(N),Plant.ER.Positivity,MU.A.VNTR,MU.B.VNTR,MU.C.VNTR,Plant.MU.VNTR(N),Plant.MU.VNTR.NoPos(N),Plant.MU.VNTR.Positivity,Plant.Total.MU.Positivity,MPM.A.VNTR,MPM.B.VNTR,MPM.C.VNTR,MPM.VNTR.(N),Plant.MPM.VNTR.NoPos(N),Plant.MPM.VNTR.Positivity,Plant.Total.MPM.Positivity,Avg.MU.Total.VNTR.Positivity,Total.MU.Present.(VNTR),Avg.MPM.Total.VNTR.Positivity,Total.MPM.Present.(VNTR),Avg.Filter.VNTR.MU,Avg.Filter.VNTR.MPM,Filter.MU.Present.(VNTR),Plant.MU.Present.(VNTR),Filter.MPM.Present.(VNTR),Plant.MPM.Present.(VNTR),Total.ER.Present,Total.ER.NoPos(N),Avg.Total.ER.Positivity
S.7.5,6,GAW-NSA-E-0807-6,Accra,-0.32065,5.65488,8,2007,Survey,N,Ghana,Accra,Ga West,Nsakina,pond,lentic,human,2,E,E,3,0,0,0,NA,3,Ferric Acrisols,28.3,439.6,397.0,9.1,6.6,7.5,92.4,24.7,5.86,8.410,5,45,218,51,4.5,24,11.6,1.54,69.5,15.5,0.443,0.239,0.027,0.0005,108,102,60.1,47.9,124,NA,0.0005,0.0025,5,0,0.00,5,0,0,NA,0.00,0,0,NA,0.00,5,1,0.20,5,1,0,0.00,0.00,1,0,0.00,0.00,Vossia,Eutrichularia,Ipomaea,0,0,0,3,0,0.00,NA,NA,NA,0,0,NA,0.00,NA,NA,NA,0,0,NA,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0,0,1,1,0.07
S.7.6,7,GAW-ASH-E-0807-7,Accra,-0.36466,5.66613,8,2007,Survey,N,Ghana,Accra,Ga West,Ashaladja,river,lotic,nature,M,E,E,1,0,0,1,NA,2,Ferric Acrisols,26.1,260.2,247.0,82.7,7.3,7.4,146.8,55.7,31,10.421,5,138,136,32,7.6,18.4,7.8,1.5,19.9,25.8,0.509,0.049,0.018,1.72,78,96,46.1,31.9,117,NA,0.0005,0.022,5,0,0.00,5,0,0,NA,0.00,0,0,NA,0.00,5,1,0.20,5,1,0,0.00,0.00,1,0,0.00,0.00,Commelina,Echinochloa,Detritus,0,0,0,3,0,0.00,NA,NA,NA,0,0,NA,0.00,NA,NA,NA,0,0,NA,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0,0,1,1,0.07
S.7.7,8,GAW-FIS-E-0807-8,Accra,-0.3018,5.69016,8,2007,Survey,Annual,Ghana,Accra,Ga West,Fise,pond,lentic,human,6,E,E,0,1,0,2,NA,3,Ferric Acrisols,28.0,430.6,395.0,52.2,7.3,7.4,108.9,10.0,3.03,11.012,1.25,15,217,54,13.3,28.1,7.7,0.032,41.7,16.2,0.128,0.064,0.009,0.122,102,142,70.1,31.9,173,NA,0.0005,0.0025,5,0,0.00,5,0,0,NA,0.00,0,0,NA,0.00,5,0,0.00,5,0,0,NA,0.00,0,0,NA,0.00,Typha,Brachiaria,Detritus,0,0,0,3,0,0.00,NA,NA,NA,0,0,NA,0.00,NA,NA,NA,0,0,NA,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0,0.00
S.7.8,9,GAW-KWA-E-0807-9,Accra,-0.36531,5.71583,8,2007,Survey,Annual,Ghana,Accra,Ga West,Kwashikuma,wetland,lentic,human,6,E,E,0,1,0,0,NA,1,Ferric Acrisols,28.8,83.6,86.1,40.2,6.5,6.9,129.0,3.9,5.5,8.706,5,24,47.4,10.2,2.7,7.2,2.9,1.38,4,14.9,0.09,0.014,0.007,0.0005,30,38,18,12,46.4,NA,0.0005,0.0025,5,0,0.00,5,0,0,NA,0.00,0,0,NA,0.00,5,0,0.00,5,0,0,NA,0.00,0,0,NA,0.00,Brachiaria,Ludwigia,Detritus,0,0,0,3,0,0.00,NA,NA,NA,0,0,NA,0.00,NA,NA,NA,0,0,NA,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0,0.00
S.7.9,10,GAW-ADO-N-0807-10,Accra,-0.15261,5.79539,8,2007,Survey,N,Ghana,Accra,Ga West,Adoteiman,pond,lentic,human,2,N,E,0,0,0,0,NA,0,Chromic Vertisols,27.7,446.0,406.0,100.3,7.6,7.3,95.4,17.6,3.95,7.365,1.25,29,223,42,15.3,22.4,10.2,0.039,81.4,12.3,0.092,0.011,0.002,0.612,98,78,56.1,41.9,95.2,NA,0.0005,0.0025,5,0,0.00,5,0,0,NA,0.00,0,0,NA,0.00,5,0,0.00,5,0,0,NA,0.00,0,0,NA,0.00,Paspallum,Nymphaea,Detritus,0,0,0,3,0,0.00,NA,NA,NA,0,0,NA,0.00,NA,NA,NA,0,0,NA,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0,0.00
S.5.2,2,DAW-ASE-N-0805-2,Accra,-0.00488,5.90737,8,2005,Survey,Annual,Ghana,Accra,Dangme West,Asebi,pond,lentic,human,2,N,N,0,0,0,0,0,0,Ferric Acrisols,27.2,86.0,105,28.5,6.6,6.8,132.0,10.59,17.30,21.8,35,31,58,14,1,6.4,2.9,1.6,26.8,9.1,0.000,0.019,0.011,0.060,28.0,36.0,16.0,12.0,43.9,0.00,NA,NA,8,3,0.38,6,3,1,0.33,0.17,3,0,0.00,0.00,5,1,0.20,5,1,0,0.00,0.00,1,0,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,1,#VALUE!,0,0.08,0.00,1,NA,0,NA,1,#VALUE!,#VALUE!
S.5.3,3,DAW-ODU-N-0805-3,Accra,-0.04369,5.84639,8,2005,Survey,Annual,Ghana,Accra,Dangme West,Odumse,pond,lentic,human,7,N,N,0,0,0,0,0,0,Ferric Acrisols,28.4,216.7,220,107.2,7.6,6.6,97.2,110.70,207.00,76.1,200,451,121,19,10,12.0,2.9,2.5,4.0,16.6,0.040,0.050,0.071,0.938,42.0,72.0,30.1,11.9,87.8,5.99,NA,NA,8,2,0.25,6,1,0,0.00,0.00,1,1,1.00,0.17,5,5,1.00,5,5,1,0.20,0.20,5,0,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,1,#VALUE!,1,0.10,0.08,1,NA,1,NA,1,#VALUE!,#VALUE!
S.6.24,24,GAW-OLE-E-0706-24,Accra,-0.3097,5.63795,7,2006,Survey,Annual,Ghana,Accra,Ga West,Olebu,wetland,lentic,human,2,N,E,0,0,0,0,0,0,Ferric Acrisols,25.5,754.8,734,12.4,7.2,6.9,57.8,28.8,29.7,8.3,40,41,404,NA,NA,32.9,9.7,0.2,155.0,0.2,0.071,0.853,0.009,0.154,122.0,122.0,82.2,39.8,149.0,0.005,0.238,0.350,6,1,0.17,6,1,0,0.00,0.00,1,0,0.00,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Nymphaea,Leersia,Detritus,1,1,1,3,3,1.00,0,1,0,3,1,0.33,0.33,1,0,1,3,2,0.67,0.67,0.11,1,0.22,1,0.00,0.00,0,1,0,1,1,4,0.39
S.6.27,27,GAW-AKO-E-0706-27,Accra,-0.34194,5.75034,7,2006,Survey,Annual,Ghana,Accra,Ga West,Akotoshie,wetland,lentic,nature,TP,E,E,3,2,2,0,1,8,Ferric Acrisols,25.6,216.3,189,5.1,6.6,6.4,-36.4,5.6,20.8,6.5,40,47,104,NA,NA,16.0,1.4,3.4,11.9,0.4,0.099,3.000,0.005,0.324,46.0,80.0,40.1,5.9,97.6,0.003,0.353,0.350,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Ceratophylum,Grasses,Detritus,1,1,0,3,2,0.67,0,1,NA,2,1,0.50,0.33,0,0,NA,2,0,0.00,0.00,0.11,1,0.00,0,0.00,0.00,0,1,0,0,1,2,0.22
S.6.28,28,GAW-TRE-E-0706-28,Accra,-0.33066,5.73627,7,2006,Survey,N,Ghana,Accra,Ga West,Trebakope,fetch,lentic,human,7,E,E,4,2,1,1,0,8,Orthic Acrisols,24.8,74.2,78.8,6.8,6.3,5.7,39.7,320.9,235,14.1,350,103,43.3,NA,NA,0.0,0.0,1.6,5.0,17.5,0.566,0.113,0.025,2.820,0.0,26.0,0.0,0.0,31.7,0.003,0.393,0.404,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Struchium sparganophora,Grasses,Detritus,1,1,1,3,3,1.00,1,0,0,3,1,0.33,0.33,0,0,0,3,0,0.00,0.00,0.11,1,0.00,0,0.00,0.00,0,1,0,0,1,3,0.33
S.6.29,29,GAE-OYA-E-0706-29,Accra,-0.17533,5.74378,7,2006,Survey,N,Ghana,Accra,Ga East,Oyarifa,pond,lentic,human,7,N,N,0,0,0,0,0,0,Chromic Vertisols,27.2,151.4,157,31.8,6.6,6.1,90.8,37.8,46,5.5,60,19,86.4,NA,NA,4.0,2.9,0.5,26.8,7.2,0.095,0.189,0.006,0.001,22.0,1.0,10.0,12.0,1.2,0.003,1.690,0.723,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Grasses,Submerged wood,Detritus,1,1,0,3,2,0.67,1,0,NA,2,1,0.50,0.33,0,0,NA,2,0,0.00,0.00,0.11,1,0.00,0,0.00,0.00,0,1,0,0,1,2,0.22
S.6.51,51,GAW-AMA-E-0806-51,Accra,-0.29866,5.70842,8,2006,Survey,Annual,Ghana,Accra,Ga West,Amasaman,wetland,lentic,human,2,E,E,10,16,23,12,4,65,Ferric Acrisols,24.7,979.3,1028,0.2,7.0,6.9,-184.5,331.5,1225,27.1,500,NA,565,NA,NA,70.1,24.2,7.3,129.0,0.5,1.010,2.520,0.0005,0.356,275.0,368.0,175.0,99.7,449.0,0.004,0.870,0.640,6,6,1.00,6,6,5,0.83,0.83,6,0,0.00,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Pistia,Typha,Detritus,1,0,0,3,1,0.33,0,NA,NA,1,0,0.00,0.00,1,NA,NA,1,1,1.00,0.33,0.28,1,0.11,1,0.42,0.00,1,0,0,1,1,7,0.44
S.7.3,3,GAE-TEI-N-0807-3,Accra,-0.18136,5.75119,8,2007,Survey,N,Ghana,Accra,Ga East,Teiman,fetch,lentic,human,7,N,N,0,0,0,0,NA,0,Chromic Vertisols,25.1,452.6,399.0,22.0,7.2,6.9,97.3,66.5,5.54,22.796,7.5,94,219,35.8,33.5,28.1,5.8,0.177,45.7,28.5,0.709,0.033,0.151,0.569,94,124,70.1,23.9,151,NA,0.0005,0.013,5,0,0.00,5,0,0,NA,0.00,0,0,NA,0.00,5,1,0.20,5,1,1,1.00,0.20,1,0,0.00,0.00,Paspallum,Paspallum,Detritus,0,0,0,3,0,0.00,NA,NA,NA,0,0,NA,0.00,NA,NA,NA,0,0,NA,0.00,0.07,1,0.00,0,0.10,0.00,1,0,0,0,1,1,0.07
S.7.4,4,GAW-AFI-E-0807-4,Accra,-0.28561,5.708,8,2007,Survey,N,Ghana,Accra,Ga West,Afiaman,pond,lentic,human,2,E,E,4,7,5,2,NA,18,Ferric Acrisols,26.9,2601.4,2130.0,38.4,7.5,8.0,80.7,20.8,3.32,8.825,1.25,24,1172,280,14.7,92.2,84.9,0.022,645,68.6,0.22,0.036,0.011,2.14,580,284,231,350,347,NA,0.0005,0.075,5,3,0.60,5,3,1,0.33,0.20,3,1,0.33,0.20,5,0,0.00,5,0,0,NA,0.00,0,0,NA,0.00,Typha,Paspallum,Typha,0,1,0,3,1,0.33,NA,0,NA,1,0,0.00,0.00,NA,0,NA,1,0,0.00,0.00,0.07,1,0.07,1,0.10,0.10,1,0,1,0,1,4,0.31
S.5.10,11,AMW-TON-E-0805-11,Ashanti,-1.99414,6.25192,8,2005,Survey,Annual,Ghana,Ashanti,Amansie West,Tontokrom,stream,lotic,nature,N,E,E,4,4,2,3,0,13,Orthic Acrisols,23.5,73.0,87.6,56.6,6.6,6.9,-133.0,5.74,16.70,10.3,15,12,48,3,1,7.2,6.3,1.6,7.9,7.6,0.000,0.007,0.010,0.152,28.0,32.0,2.3,25.8,39.0,4.37,NA,NA,8,0,0.00,8,0,0,NA,0.00,0,0,NA,0.00,5,0,0.00,5,0,0,NA,0.00,0,0,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,0,#VALUE!,0,0.00,0.00,0,NA,0,NA,1,#VALUE!,#VALUE!
S.5.12,13,AMW-BON-E-0805-13,Ashanti,-1.99715,6.229,8,2005,Survey,Annual,Ghana,Ashanti,Amansie West,Bonsaaso,stream,lotic,nature,N,E,E,3,7,1,2,0,13,Orthic Acrisols,23.8,99.0,113,54.0,6.7,6.8,-144.0,0.01,6.22,5.2,5,24,62,1,1,4.0,9.4,0.6,14.9,5.6,0.000,0.010,0.003,0.158,40.0,24.0,1.3,38.8,29.3,21.60,NA,NA,8,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,5,0,0.00,5,0,0,NA,0.00,0,0,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,0,#VALUE!,0,0.00,0.00,0,NA,0,NA,1,#VALUE!,#VALUE!
S.5.13,14,AMW-WAT-E-0805-14,Ashanti,-1.91547,6.24568,8,2005,Survey,Annual,Ghana,Ashanti,Amansie West,Watreso,fetch,lentic,human,7,E,E,1,5,1,0,25,32,Orthic Acrisols,26.2,97.5,111,30.9,6.7,6.6,-165.0,329.10,24.00,36.7,30,21,61,5,3,7.2,9.2,6.4,8.9,18.8,0.000,0.009,0.003,0.123,40.0,40.0,2.3,37.8,48.8,17.30,NA,NA,8,0,0.00,8,0,0,NA,0.00,0,0,NA,0.00,5,1,0.20,5,1,0,0.00,0.00,1,0,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,0,#VALUE!,0,0.00,0.00,0,NA,0,NA,1,#VALUE!,#VALUE!
S.5.14,15,AMW-BRE-N-0805-15,Ashanti,-1.91015,6.20813,8,2005,Survey,Annual,Ghana,Ashanti,Amansie West,Bretsekrom,riverine wetland,lentic,nature,N,N,E,0,0,0,0,0,0,Orthic Acrisols,23.2,91.1,108,2.2,6.4,6.5,47.5,16.91,13.10,25.0,10,14,59,4,4,12.8,9.7,5.6,6.0,16.3,0.000,0.165,0.022,0.111,44.0,60.0,4.0,40.0,73.2,2.13,NA,NA,8,5,0.63,6,5,0,0.00,0.00,5,1,0.20,0.17,5,1,0.20,5,1,0,0.00,0.00,1,0,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,0,#VALUE!,1,0.00,0.08,0,NA,1,NA,1,#VALUE!,#VALUE!
S.6.32,32,ATM-ABO-E-0706-32,Ashanti,-2.27267,6.54619,7,2006,Survey,N,Ghana,Ashanti,Atwima Mponuah,Aboabogya,stream,lotic,nature,M,E,E,2,0,0,0,0,2,Orthic Acrisols,24.0,61.3,60.4,5.5,6.3,6.5,-20.4,12.2,42,5.3,90,6,33.2,NA,NA,8.0,1.0,2.7,4.0,0.5,0.149,0.053,0.0005,1.360,24.0,26.0,20.0,4.0,31.7,0.004,0.215,0.418,6,1,0.17,6,1,0,0.00,0.00,1,0,0.00,0.00,6,0,0.00,6,0,0,NA,0.00,0,0,NA,0.00,Grasses and ferns,Shrub roots,Detritus,1,1,1,3,3,1.00,0,0,0,3,0,0.00,0.00,0,0,0,3,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0,0,1,4,0.39
